Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,asian_population,black_population,zip code tabulation area
15425.0,6241.0,72030.0,36221.0,1279.0,142.0,667.0,15229
11905.0,6198.0,61938.0,51470.0,2022.0,1859.0,729.0,15232
3079.0,1447.0,53497.0,37931.0,427.0,35.0,1572.0,15233
14006.0,6077.0,69139.0,38875.0,907.0,479.0,351.0,15234
35104.0,15290.0,57535.0,32505.0,3450.0,125.0,14413.0,15235
30938.0,13446.0,72395.0,38844.0,2003.0,2679.0,1107.0,15236
43211.0,18231.0,92436.0,50681.0,1569.0,2281.0,586.0,15237
12565.0,5396.0,118465.0,81455.0,763.0,1021.0,170.0,15238
21172.0,8304.0,86281.0,40001.0,641.0,160.0,882.0,15239
21672.0,8127.0,131809.0,62251.0,540.0,1283.0,277.0,15241
13846.0,5788.0,98260.0,53876.0,411.0,699.0,161.0,15243
0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,15260
4.0,0.0,-666666666.0,8325.0,3.0,0.0,2.0,15275
5923.0,0.0,-666666666.0,6514.0,0.0,170.0,1569.0,15282
0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,15290
42522.0,17080.0,97865.0,49255.0,1632.0,822.0,1273.0,15317
1854.0,695.0,105552.0,46951.0,12.0,5.0,0.0,15321
220.0,91.0,-666666666.0,34491.0,0.0,0.0,0.0,15361
2773.0,1079.0,49155.0,25107.0,230.0,10.0,0.0,15545
12759.0,5240.0,64115.0,35902.0,962.0,63.0,72.0,15613
216.0,114.0,-666666666.0,45052.0,14.0,10.0,0.0,15615
644.0,294.0,48456.0,23708.0,127.0,11.0,29.0,15629
9340.0,3814.0,84589.0,52734.0,700.0,452.0,231.0,15632
4312.0,1561.0,140173.0,50152.0,88.0,15.0,2.0,15636
492.0,228.0,57917.0,30556.0,36.0,24.0,0.0,15641
46257.0,19025.0,79322.0,40521.0,3230.0,567.0,575.0,15642
18369.0,8551.0,57639.0,34984.0,2324.0,123.0,951.0,15644
38.0,9.0,-666666666.0,,0.0,0.0,0.0,15647
9737.0,3978.0,67553.0,32775.0,805.0,17.0,145.0,15656
1326.0,497.0,39306.0,28928.0,306.0,0.0,0.0,15665
14066.0,5425.0,109673.0,56877.0,346.0,397.0,222.0,15668
1224.0,614.0,55000.0,43113.0,130.0,4.0,0.0,15673
9239.0,4034.0,50336.0,27375.0,1391.0,29.0,268.0,15690
864.0,444.0,42590.0,26075.0,202.0,0.0,0.0,15692
20275.0,8220.0,56197.0,30621.0,2217.0,137.0,184.0,15801
1753.0,741.0,49946.0,28228.0,274.0,11.0,16.0,15840
7074.0,2661.0,53887.0,25551.0,984.0,22.0,50.0,15851
3512.0,1919.0,24583.0,19753.0,1352.0,13.0,869.0,15901
11454.0,4930.0,38701.0,23097.0,2932.0,25.0,1338.0,15902
16509.0,6619.0,62555.0,33430.0,1301.0,225.0,228.0,15904
20082.0,8752.0,59447.0,35130.0,2256.0,176.0,478.0,15905
10104.0,4660.0,33886.0,20745.0,2556.0,0.0,1056.0,15906
4976.0,2081.0,55625.0,29440.0,624.0,23.0,61.0,15909
1935.0,860.0,61000.0,40796.0,66.0,84.0,0.0,15928
0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,15934
2981.0,1129.0,66211.0,28812.0,174.0,0.0,2.0,15935
1981.0,706.0,71824.0,30917.0,117.0,0.0,0.0,15942
158.0,47.0,35250.0,19029.0,8.0,0.0,0.0,15945
6675.0,2725.0,55625.0,29315.0,657.0,10.0,10.0,15946
10164.0,4485.0,50719.0,31540.0,993.0,0.0,6.0,15963
39892.0,18074.0,57500.0,35285.0,4449.0,136.0,600.0,16001
