Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
2558,1359,62990,43597,294,0,2545,0,0,4347
2387,975,83681,45121,110,0,2280,23,0,4351
44285,18942,62287,37050,5038,945,40016,581,547,4401
1693,630,85469,33632,81,7,1506,5,72,4411
9633,4156,55870,33595,1475,52,9108,2,0,4412
3500,1331,67354,36366,267,12,3238,12,4,4428
4924,2223,86685,58126,208,0,4713,11,12,4429
9303,3597,94018,44334,539,43,8622,2,20,4444
8171,3290,56682,37923,2070,110,7373,244,15,4473
3820,1575,82656,45524,213,9,3756,11,0,4474
14686,6517,65131,37625,1532,132,13691,200,132,4605
5161,2318,67045,43202,630,181,4710,98,0,4609
490,219,81875,48656,33,0,490,0,0,4612
100,45,69375,45995,0,0,100,0,0,4646
